,0,1
309,PROFITABLE,1
310,MT,1
311,COAL,1
312,THERMAL,1
313,UNITS,1
314,NORM,1
315,PORSCHE,1
316,MERCEDES,1
317,BENZ,1
318,HEAT,1
319,DREAM11,1
320,FANTASY,1
321,ORANGE,1
322,PURPLE,1
323,LEADERBOARD,1
324,NICHOLAS,1
325,POORAN,1
326,SHARDUL,1
327,THAKUR,1
328,RANKINGS,1
329,COMPARISON,1
330,MASTERS,1
331,UNITE,1
332,MUKUL,1
333,AGARWAL,1
334,SUNIL,1
335,SINGHANIA,1
336,MUST,1
337,CEMENTS,1
338,INDICATING,1
339,STRENGTH,1
340,REVERSAL,1
341,BEYOND,1
342,FIXED,1
343,STEADY,1
344,PASSIVE,1
345,BOOK,1
346,PROFITS,1
347,LONGS,1
348,PEAK,1
349,WATCHLIST,1
350,TALENT,1
351,RUPEE,1
352,PAISE,1
353,DEFERS,1
354,MONDAY,1
355,EXPIRY,1
356,INDIRA,1
357,IVF,1
358,SHELVED,1
359,IPO,1
360,PLANS,1
361,VALUATION,1
362,PROBLEM,1
363,MACRO,1
364,NAREN,1
365,LARGE,1
366,JEFFERIES,1
367,ONGC,1
368,RED,1
369,NIFTY,1
370,CLOSES,1
371,SENSEX,1
372,DROPS,1
373,INDUSIND,1
374,LOSERS,1
375,COGNIZANT,1
376,BIG,1
377,MOTORS,1
378,DA,1
379,CENTRAL,1
380,EMPLOYEES,1
381,MUCH,1
382,SALARY,1
383,COMING,1
384,SATURDAY,1
385,SUNDAY,1
386,CURRENT,1
387,ITR,1
388,INCONSISTENCIES,1
389,DETAILS,1
390,URGENT,1
391,NEED,1
392,LOAN,1
393,HELP,1
394,EPFO,1
395,INTEREST,1
396,PF,1
397,CATEGORY,1
398,POSITIVE,1
399,BPL,1
400,TAUGHT,1
401,RAJEEV,1
402,CHANDRASEKHAR,1
403,INNOVATION,1
404,COLLAPSE,1
405,BAD,1
406,POLICY,1
407,NITHIN,1
408,KAMATH,1
409,TOUGHEST,1
410,EASY,1
411,WATCHFUL,1
412,PORTFOLIOS,1
413,ANUP,1
414,SAHA,1
415,SMART,1
416,LENDING,1
417,AXIS,1
418,AMITABH,1
419,CHAUDHRY,1
420,VINOD,1
421,BAHETY,1
422,APPOINTED,1
423,AMBUJA,1
424,BEAUTY,1
425,MILKTOUCH,1
426,SUNGBOON,1
427,EDITOR,1
428,DEBUT,1
429,VIA,1
430,OWNED,1
431,TIRA,1
432,NFRA,1
433,AUDIT,1
434,GAPS,1
435,INDEPENDENCE,1
436,NCLAT,1
437,SLASHES,1
438,CCI,1
439,PENALTY,1
440,GOOGLE,1
441,WEALTH,1
442,TECH,1
443,STARTUP,1
444,SMALLCASE,1
445,RAISES,1
446,MILLION,1
447,SERIES,1
448,D,1
449,APPROVES,1
450,PLI,1
451,SCHEME,1
452,COMPONENT,1
453,OUTLAY,1
454,ALCHEMY,1
455,REWIRING,1
456,BUSINESS,1
457,SELECTIVE,1
458,OPERATIONS,1
459,MANDATES,1
460,PARTICIPATION,1
461,CLEARING,1
462,MEET,1
463,YOUNGEST,1
464,BILLIONAIRES,1
465,STARTED,1
466,CR,1
467,UNCERTAINTIES,1
468,CHINESE,1
469,DUMPING,1
470,THREATEN,1
471,PROFITABILITY,1
472,SPECIALTY,1
473,CHEMICALS,1
474,CRISIL,1
475,ADAPTING,1
476,CHANGING,1
477,LANDSCAPE,1
478,PROFESSIONALS,1
479,POSITIONS,1
480,EMBRACING,1
481,TECHNOLOGY,1
482,SHIFT,1
483,TOWARDS,1
484,CORPORATIZATION,1
485,STAYING,1
486,COMPETITIVE,1
487,ATTRACTING,1
488,ANTICIPATION,1
489,ENTERING,1
490,USE,1
491,ARTIFICIAL,1
492,INTELLIGENCE,1
493,FLIPPING,1
494,SCRIPT,1
495,TILTING,1
496,BALANC,1
497,INTERVIEW,1
498,NIKHIL,1
499,MANAGING,1
500,PERFETTI,1
501,DABUR,1
502,STAND,1
503,COMBINED,1
504,MIGHT,1
505,COCA,1
506,COLA,1
507,HOURS,1
508,SNEHDEEP,1
509,AGGARWAL,1
510,CHAIRMAN,1
511,BHARTIYA,1
512,SENDING,1
513,COUNTRIES,1
514,GRANTED,1
515,ANTICIPATORY,1
516,EKNATH,1
517,SHINDE,1
518,PARODY,1
519,MIDDLE,1
520,EAST,1
521,EUROPE,1
522,CORRIDOR,1
523,STRENGTHEN,1
524,GLOBAL,1
525,NOTIFIES,1
526,TRANSFER,1
527,ALLAHABAD,1
528,SC,1
529,REJECTS,1
530,PLEA,1
531,REGISTER,1
532,PASTOR,1
533,BAJINDER,1
534,SINGH,1
535,FOUND,1
536,GUILTY,1
537,SEXUAL,1
538,HARASSMENT,1
539,SENTENCING,1
540,RESTAURANTS,1
541,ATTRACT,1
542,GST,1
543,RENT,1
544,EXCEEDS,1
545,PROOFING,1
546,GAS,1
547,ENHANCED,1
548,EFFICIENCY,1
549,INFORMATION,1
550,INTEGRITY,1
551,DATA,1
552,DEVELOPMENT,1
553,TELCOS,1
554,ARPU,1
555,SHAHID,1
556,KAPOOR,1
557,DEVA,1
558,SHAH,1
559,RUKH,1
560,MUFASA,1
561,NETFLIX,1
562,PRIME,1
563,VIDEO,1
564,JIOHOTSTAR,1
565,MOON,1
566,SIGHTING,1
567,SAUDI,1
568,ARABIA,1
569,SIKANDAR,1
570,ADVANCE,1
571,BOOKING,1
572,SURPASSES,1
573,SALMAN,1
574,CROSS,1
575,KOREA,1
576,WILDFIRES,1
577,BTS,1
578,BLACKPINK,1
579,NCT,1
580,POP,1
581,HALLYU,1
582,WHOPPING,1
583,DONATIONS,1
584,CARDIAC,1
585,STENTS,1
586,BECOME,1
587,COSTLIER,1
588,DRUG,1
589,REGULATOR,1
590,ALLOWS,1
591,SLAMS,1
592,X,1
593,CENSORSHIP,1
594,PORTAL,1
595,LABEL,1
596,HRITHIK,1
597,CAREER,1
598,TURNS,1
599,KRRISH,1
600,RAKESH,1
601,LAUNCHED,1
602,BOX,1
603,SUKUMARAN,1
604,TITLE,1
605,FILM,1
606,CROSSES,1
607,TRACTOR,1
608,MAKERS,1
609,UNAFFECTED,1
610,SELL,1
611,HELMETS,1
612,EVERY,1
613,NITIN,1
614,GADKARI,1
615,BYD,1
616,SET,1
617,MANUFACTURING,1
618,FACILITY,1
619,AFFORDABLE,1
620,MODELS,1
621,MATRIC,1
622,BIHARBOARDONLINE,1
623,Q3,1
624,CAD,1
625,FLAT,1
626,UREA,1
627,SUBSIDY,1
628,KHARIF,1
629,RIVALRY,1
630,PASSION,1
631,STAKES,1
632,PREVIEW,1
633,RAIN,1
634,GODS,1
635,MERCIFUL,1
636,WEATHER,1
637,FORECAST,1
638,PITCH,1
639,PROBABLE,1
640,PLAYING,1
641,XI,1
642,ROHIT,1
643,VIRAT,1
644,KOHLI,1
645,RAVINDRA,1
646,JADEJA,1
647,DEMOTION,1
648,MAJOR,1
649,BCCI,1
650,CONTRACT,1
651,OVERHAUL,1
652,ISRAEL,1
653,STRIKES,1
654,BEIRUT,1
655,NOVEMBER,1
656,CEASEFIRE,1
657,HEZBOLLAH,1
658,UPI,1
659,CO,1
660,FOUNDER,1
661,NANDAN,1
662,NILEKANI,1
663,ENVISIONS,1
664,REVOLUTIONARY,1
665,PARALLELS,1
666,FOREX,1
667,RESERVES,1
668,FOUR,1
669,TOUCHES,1
670,FULL,1
671,TARGET,1
672,FEB,1
673,POSSIBLE,1
674,SCENARIOS,1
675,MAGNITUDE,1
676,ROCKS,1
677,LEAST,1
678,ZUCKERBERG,1
679,BUYS,1
680,SHIRT,1
681,WORN,1
682,JESSE,1
683,EISENBERG,1
684,DRAMATIC,1
685,VISUALS,1
686,DEVASTATION,1
687,SHOW,1
688,BRIDGE,1
689,COLLAPSING,1
690,JD,1
691,VANCE,1
692,VISITS,1
693,GREENLAND,1
694,WANTS,1
695,ISLAND,1
696,CONTROL,1
697,DON,1
698,STUDY,1
699,CODING,1
700,REPLIT,1
701,INSTEAD,1
702,LEARN,1
703,WASN,1
704,SELF,1
705,DEPORT,1
706,SCHOLAR,1
707,RANJANI,1
708,SRINIVASAN,1
709,TAGGED,1
710,TERRORIST,1
711,SYMPATHISER,1
712,UNDERWAY,1
713,MULLS,1
714,LOWERING,1
715,FARM,1
716,GOODS,1
717,DEMAND,1
718,CHAITRA,1
719,PUJA,1
720,VIDHI,1
721,DEFENDS,1
722,SECURITY,1
723,DISRUPTION,1
724,GREEN,1
725,RECEIVES,1
726,LOA,1
727,UPPCL,1
728,MW,1
729,PROJECT,1
730,IFTAAR,1
731,JUMMA,1
732,DYNAMICS,1
733,BETTER,1
734,FII,1
735,BUYING,1
736,SPREE,1
737,FUELLING,1
738,SURGE,1
739,BILL,1
740,GATES,1
741,PREDICTS,1
742,WORK,1
743,CHATGPT,1
744,THINKS,1
745,BABY,1
746,REINDEER,1
747,HEARTSTOPPER,1
748,AGATHA,1
749,ALONG,1
750,GLAAD,1
751,MEDIA,1
752,WINNERS,1
753,INSIDE,1
754,SEEKS,1
755,PROTECTION,1
756,ARREST,1
757,MOVES,1
758,GADDAR,1
759,QUAKES,1
760,WORKERS,1
761,TRAPPED,1
762,COLLAPSED,1
763,SKYWATCH,1
764,BANGKOK,1
765,REAL,1
766,PROJECTED,1
767,FY25,1
768,FY26,1
769,TCS,1
770,BLACKLIST,1
771,LEAKED,1
772,RECRUITER,1
773,EMAIL,1
774,WRITING,1
775,PAYING,1
776,PRABHAS,1
777,GETTING,1
778,MARRIED,1
779,HYDERABAD,1
780,BUSINESSMAN,1
781,DAUGHTER,1
782,ACTOR,1
783,TEAM,1
784,TRENT,1
785,MACQUARIE,1
786,SHOWSTOPPER,1
787,OUTPERFORM,1
788,RATING,1
789,JUMMAH,1
790,PRAYER,1
791,TIMINGS,1
792,LAST,1
793,FRIDAY,1
794,RAMADAN,1
795,PLUS,1
796,SEND,1
797,LOVED,1
798,LEVEL,1
799,NEVER,1
800,LIKELY,1
801,FINISH,1
802,LOT,1
803,WASTE,1
804,HOLIDAY,1
805,CLOSED,1
806,ID,1
807,STREAMING,1
808,PLATFORM,1
809,CAST,1
810,MOHANLAL,1
811,ACTION,1
812,THRILLER,1
813,1ST,1
814,ECLIPSE,1
815,VISIBLE,1
816,MSTC,1
817,TRACK,1
818,THIRD,1
819,THINGS,1
820,DONALD,1
821,HOSTS,1
822,IFTAR,1
823,DINNER,1
824,WHITE,1
825,HOUSE,1
826,GAZA,1
827,YEMEN,1
828,CONFLICTS,1
829,THANKS,1
830,SUPPORT,1
831,SESSION,1
832,ADMIT,1
833,HALL,1
834,TICKETS,1
835,JEEMAIN,1
836,NIC,1
837,IMPORT,1
838,REGIONAL,1
839,DRIVE,1
840,RETAIL,1
841,EXPRESS,1
842,RETAINS,1
843,SPOT,1
844,DEEPINDER,1
845,GOYAL,1
846,JASPRIT,1
847,BUMRAH,1
848,ALLU,1
849,ARJUN,1
850,SURFACE,1
851,AMONG,1
852,NAMES,1
853,STEPS,1
854,DOWNLOAD,1
855,MARKSHEET,1
856,STATE,1
857,PORTS,1
858,ZONE,1
859,PETROLEUM,1
860,GRID,1
861,SUN,1
862,PHARMACEUTICAL,1
863,BRITANNIA,1
864,APOLLO,1
865,HOSPITALS,1
866,ENTERPRISE,1
867,MARUTI,1
868,SUZUKI,1
869,KOTAK,1
870,CONSUMER,1
871,PRODUCTS,1
872,SBI,1
873,DR,1
874,REDDYS,1
875,LABORATORIES,1
876,HDFC,1
877,SLAB,1
878,BUDGET,1
879,GOVERNMENT,1
880,FORMATION,1
881,MAJORITY,1
882,SNIFFS,1
883,CHANCE,1
884,AC,1
885,SCOREBOARD,1
886,DECLARED,1
887,BSEBMATRIC,1
888,ORG,1
889,HAPPY,1
890,WOMEN,1
891,GREETINGS,1
892,MESSAGES,1
893,FRIENDS,1
894,FAMILY,1
895,MAHA,1
896,SHIVRATRI,1
897,SPREAD,1
898,FESTIVE,1
899,QUOTES,1
900,COMMEMORATE,1
901,OCCASION,1
902,CONGRESS,1
903,CEC,1
904,CLEARS,1
905,RAHUL,1
906,GANDHI,1
907,CANDIDACY,1
908,WAYANAD,1
909,SEAT,1
910,CANDIDATE,1
911,CONGRATULATES,1
912,PARTICIPANTS,1
913,AWARDEES,1
914,NATIONAL,1
915,CREATORS,1
916,JM,1
917,FINANCIAL,1
918,FULLY,1
919,COOPERATE,1
920,SEBI,1
921,PROBE,1
922,PUBLIC,1
923,ISSUE,1
924,DEBT,1
925,SECURITIES,1
926,HOME,1
927,LONDON,1
928,MAMATA,1
929,BANERJEE,1
930,HOUSECLEANING,1
931,SCARED,1
932,LIBERTY,1
933,GOES,1
934,GRANTS,1
935,AURANGZEB,1
936,DIED,1
937,REMOVE,1
938,TOMB,1
939,KEEP,1
940,DISTANCE,1
941,UNION,1
942,MINISTER,1
943,RAMDAS,1
944,ATHAWALE,1
945,TIM,1
946,DAVID,1
947,6S,1
948,WEBSITE,1
949,FOLLOWS,1
950,DNPA,1
951,CODE,1
952,CONDUCT,1
